date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2025-08-02,16:58:49.633,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,9.40,120.10,35.00,7.82,939.18,0.00,22.33,86,4,1977749,38,0,-1.86,0.00,,
2025-08-02,16:58:49.855,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,10.80,120.35,4.10,0.80,96.28,0.00,19.45,87,5,1977750,38,0,-0.32,0.00,,
2025-08-02,16:58:50.057,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,12.00,120.45,22.90,4.90,590.21,0.00,21.41,88,5,1977750,38,0,-1.14,0.00,,
2025-08-02,16:58:50.234,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,12.70,120.29,27.20,6.41,771.06,0.00,23.57,87,6,1977751,38,0,-1.44,0.00,,
2025-08-02,16:58:50.439,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,13.40,120.18,27.80,7.06,848.47,0.00,25.38,87,7,1977752,38,0,-1.41,0.00,,
2025-08-02,16:58:50.636,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,14.30,120.17,16.20,4.12,495.10,0.00,25.45,87,8,1977753,38,0,-0.94,0.00,,
2025-08-02,16:58:50.834,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,15.50,120.43,12.00,3.00,361.29,0.00,24.96,88,9,1977754,38,0,-0.46,0.00,,
2025-08-02,16:58:51.037,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,16.10,120.26,18.30,4.88,586.87,0.00,26.64,87,10,1977755,38,0,-1.09,0.00,,
2025-08-02,16:58:51.251,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,16.70,120.31,18.00,4.90,589.52,0.00,27.24,87,11,1977756,38,0,-0.89,0.00,,
2025-08-02,16:58:51.475,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,17.40,120.21,18.90,5.36,644.33,0.00,28.36,87,12,1977757,38,0,-1.06,0.00,,
2025-08-02,16:58:51.669,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,18.00,120.01,29.90,9.31,1117.29,0.00,31.13,86,13,1977758,38,0,-1.54,0.00,,
2025-08-02,16:58:51.930,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,19.00,119.67,32.40,10.93,1307.99,0.00,33.73,85,14,1977759,38,0,-1.74,0.00,,
2025-08-02,16:58:52.057,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,20.00,119.82,9.20,2.96,354.67,0.00,32.13,85,15,1977760,38,0,-0.71,0.00,,
2025-08-02,16:58:52.263,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,21.30,120.35,4.50,1.39,167.29,0.00,30.88,87,17,1977762,38,0,-0.17,0.00,,
2025-08-02,16:58:52.468,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,22.00,120.08,25.70,8.85,1062.71,0.00,34.44,86,18,1977763,38,0,-1.34,0.00,,
2025-08-02,16:58:52.658,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,22.20,119.89,20.00,7.06,846.42,0.00,35.29,86,19,1977764,38,0,-1.11,0.00,,
2025-08-02,16:58:52.909,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,23.00,119.87,23.10,8.34,999.72,0.00,36.12,85,21,1977766,38,0,-1.14,0.00,,
2025-08-02,16:58:53.058,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,23.80,119.97,11.90,4.25,509.87,0.00,35.68,86,22,1977767,38,0,-0.58,0.00,,
2025-08-02,16:58:53.254,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,24.40,120.00,16.30,6.08,729.60,0.00,37.29,86,23,1977768,38,0,-0.87,0.00,,
2025-08-02,16:58:53.461,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,25.20,120.27,7.90,2.88,346.38,0.00,36.42,87,25,1977770,38,0,-0.35,0.00,,
2025-08-02,16:58:53.663,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,25.50,120.07,19.70,7.56,907.73,0.00,38.37,86,26,1977771,38,0,-1.02,0.00,,
2025-08-02,16:58:53.858,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,26.10,120.07,16.30,6.25,750.44,0.00,38.33,86,28,1977773,38,0,-0.81,0.00,,
2025-08-02,16:58:54.059,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,26.40,119.83,24.00,9.71,1163.55,0.00,40.45,85,29,1977774,38,0,-1.24,0.00,,
2025-08-02,16:58:54.272,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,27.00,119.67,25.10,10.37,1240.98,0.00,41.32,85,31,1977776,38,0,-1.30,0.00,,
2025-08-02,16:58:54.466,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,27.70,119.55,21.50,9.08,1085.51,0.00,42.21,84,33,1977778,38,0,-1.12,0.00,,
2025-08-02,16:58:54.663,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,28.40,119.39,26.00,11.54,1377.76,0.00,44.38,84,34,1977779,38,0,-1.34,0.00,,
2025-08-02,16:58:54.878,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,29.40,119.48,20.70,9.24,1104.00,0.00,44.66,84,36,1977781,38,0,-0.97,0.00,,
2025-08-02,16:58:55.072,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,30.20,119.15,26.80,12.33,1469.12,0.00,46.00,83,38,1977783,38,0,-1.47,0.00,,
2025-08-02,16:58:55.259,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,31.00,119.30,17.30,7.94,947.24,0.00,45.88,83,40,1977785,38,0,-0.91,0.00,,
2025-08-02,16:58:55.511,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,31.80,119.30,25.30,12.26,1462.62,0.00,48.44,83,42,1977787,38,0,-1.22,0.00,,
2025-08-02,16:58:55.679,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,32.70,119.26,19.30,9.33,1112.70,0.00,48.32,83,43,1977788,38,0,-0.99,0.00,,
2025-08-02,16:58:55.873,53.2865523,50.2848362,0.0,106.4000015258789,0.0,0,33.40,119.35,27.10,14.03,1674.48,0.00,51.76,83,45,1977790,38,0,-1.07,0.00,,
