date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2025-08-02,18:20:17.588,53.264854,50.2460532,0.0,0.0,0.0,0,28.60,118.26,10.20,4.14,489.60,0.00,40.62,79,3,1984013,46,0,-0.50,0.00,,
2025-08-02,18:20:17.588,53.264854,50.2460532,0.0,0.0,0.0,0,28.60,118.26,10.20,4.14,489.60,0.00,40.62,79,3,1984013,46,0,-0.50,0.00,,
2025-08-02,18:20:17.741,53.264854,50.2460532,0.0,0.0,0.0,0,28.50,118.14,10.90,4.37,516.27,0.00,40.12,78,4,1984014,46,0,-0.59,0.00,,
2025-08-02,18:20:17.951,53.264854,50.2460532,0.0,0.0,0.0,0,28.50,118.15,9.30,3.77,445.43,0.00,40.53,78,6,1984016,46,0,-0.48,0.00,,
2025-08-02,18:20:18.136,53.264854,50.2460532,0.0,0.0,0.0,0,28.70,118.14,8.00,3.18,375.69,0.00,39.72,78,8,1984018,46,0,-0.45,0.00,,
2025-08-02,18:20:18.401,53.264854,50.2460532,0.0,0.0,0.0,0,28.60,118.20,9.30,3.70,437.34,0.00,39.74,79,9,1984019,46,0,-0.48,0.00,,
2025-08-02,18:20:18.517,53.264854,50.2460532,0.0,0.0,0.0,0,28.60,118.16,10.80,4.39,518.72,0.00,40.64,78,11,1984021,46,0,-0.53,0.00,,
2025-08-02,18:20:18.750,53.264854,50.2460532,0.0,0.0,0.0,0,28.60,118.11,10.40,4.21,497.24,0.00,40.44,78,12,1984022,46,0,-0.53,0.00,,
2025-08-02,18:20:18.973,53.264854,50.2460532,0.0,0.0,0.0,0,28.80,118.15,10.50,4.23,499.77,0.00,40.25,78,14,1984024,46,0,-0.50,0.00,,
2025-08-02,18:20:19.126,53.264854,50.2460532,0.0,0.0,0.0,0,28.60,118.00,14.40,5.85,690.30,0.00,40.62,78,16,1984026,46,0,-0.79,0.00,,
2025-08-02,18:20:19.355,53.264854,50.2460532,0.0,0.0,0.0,0,28.80,117.94,14.90,6.21,732.41,0.00,41.66,78,17,1984027,46,0,-0.75,0.00,,
