date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2025-07-07,18:32:39.245,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,8.50,116.38,10.20,1.45,168.75,0.00,14.18,71,8,1510468,40,0,-0.48,0.00,,
2025-07-07,18:32:39.645,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,8.50,116.28,9.90,1.50,174.42,0.00,15.18,71,9,1510469,40,0,-0.55,0.00,,
2025-07-07,18:32:39.834,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,8.80,116.18,32.00,5.74,666.87,0.00,17.93,70,10,1510470,40,0,-1.53,0.00,,
2025-07-07,18:32:40.090,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,9.20,115.89,37.00,7.94,920.17,0.00,21.46,69,10,1510470,40,0,-1.93,0.00,,
2025-07-07,18:32:40.245,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,10.00,115.87,19.20,4.05,469.27,0.00,21.09,69,11,1510471,40,0,-1.05,0.00,,
2025-07-07,18:32:40.439,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,11.10,116.05,9.50,1.90,220.50,0.00,20.04,70,12,1510472,40,0,-0.50,0.00,,
2025-07-07,18:32:40.633,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,11.90,116.20,12.20,2.42,281.20,0.00,19.82,70,12,1510472,40,0,-0.53,0.00,,
2025-07-07,18:32:40.824,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,12.30,116.05,25.20,5.70,661.49,0.00,22.61,70,13,1510473,40,0,-1.26,0.00,,
2025-07-07,18:32:41.036,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,12.50,115.94,23.40,5.41,627.24,0.00,23.14,69,14,1510474,40,0,-1.19,0.00,,
2025-07-07,18:32:41.232,53.2511255,50.2140561,0.0,140.00001525878906,0.0,0,13.20,115.77,29.30,7.65,885.64,0.00,26.12,69,15,1510475,40,0,-1.52,0.00,,
