date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2025-07-10,18:11:32.510,53.1173398,49.9703398,0.0,0.0,0.0,0,8.90,116.11,16.70,3.07,356.46,0.00,18.38,70,6,1566465,39,0,-0.98,0.00,,
2025-07-10,18:11:32.697,53.1173398,49.9703398,0.0,0.0,0.0,0,9.90,116.20,20.10,3.77,438.07,0.00,18.74,70,6,1566465,39,0,-0.94,0.00,,
2025-07-10,18:11:32.924,53.1173398,49.9703398,0.0,0.0,0.0,0,10.50,116.05,30.90,6.59,764.77,0.00,21.33,70,7,1566466,39,0,-1.59,0.00,,
2025-07-10,18:11:33.111,53.1173398,49.9703398,0.0,0.0,0.0,0,11.10,115.94,30.50,6.91,801.15,0.00,22.64,69,8,1566467,39,0,-1.55,0.00,,
2025-07-10,18:11:33.311,53.1173398,49.9703398,0.0,0.0,0.0,0,11.80,115.98,10.40,2.20,255.16,0.00,21.20,69,8,1566467,39,0,-0.69,0.00,,
2025-07-10,18:11:33.505,53.1173398,49.9703398,0.0,0.0,0.0,0,12.60,116.18,16.00,3.37,391.53,0.00,21.05,70,9,1566468,39,0,-0.68,0.00,,
2025-07-10,18:11:33.728,53.1173398,49.9703398,0.0,0.0,0.0,0,13.00,116.15,16.90,3.77,437.89,0.00,22.28,70,10,1566469,39,0,-0.85,0.00,,
2025-07-10,18:11:33.909,53.1173398,49.9703398,0.0,0.0,0.0,0,13.40,116.16,7.70,1.70,197.47,0.00,22.04,70,11,1566470,39,0,-0.52,0.00,,
2025-07-10,18:11:34.107,53.1173398,49.9703398,0.0,0.0,0.0,0,13.90,116.45,7.50,1.12,130.42,0.00,14.98,71,12,1566471,39,0,0.46,0.00,,
2025-07-10,18:11:34.306,53.1173398,49.9703398,0.0,0.0,0.0,0,13.90,116.36,21.00,4.55,529.44,0.00,21.66,71,12,1566471,39,0,-0.96,0.00,,
2025-07-10,18:11:34.500,53.1173398,49.9703398,0.0,0.0,0.0,0,13.50,116.16,22.10,5.11,593.58,0.00,23.14,70,13,1566472,39,0,-1.13,0.00,,
2025-07-10,18:11:34.723,53.1173398,49.9703398,0.0,0.0,0.0,0,13.70,116.25,0.30,0.06,6.98,0.00,18.86,71,14,1566473,39,0,-0.05,0.00,,
2025-07-10,18:11:34.899,53.1173398,49.9703398,0.0,0.0,0.0,0,14.00,116.21,25.40,6.02,699.58,0.00,23.72,70,15,1566474,39,0,-1.16,0.00,,
2025-07-10,18:11:35.105,53.1173398,49.9703398,0.0,0.0,0.0,0,14.10,116.05,21.30,5.34,619.71,0.00,25.05,70,15,1566474,39,0,-1.08,0.00,,
2025-07-10,18:11:35.310,53.1173398,49.9703398,0.0,0.0,0.0,0,14.70,116.09,2.30,0.50,58.05,0.00,21.73,70,16,1566475,39,0,-0.29,0.00,,
2025-07-10,18:11:35.567,53.1173398,49.9703398,0.0,0.0,0.0,0,15.40,116.53,19.40,2.95,343.76,0.00,15.21,72,17,1566476,39,0,1.07,0.00,,
2025-07-10,18:11:35.717,53.1173398,49.9703398,0.0,0.0,0.0,0,15.40,116.50,13.10,2.86,333.19,0.00,21.86,72,18,1566477,39,0,-0.55,0.00,,
2025-07-10,18:11:35.915,53.1173398,49.9703398,0.0,0.0,0.0,0,14.70,116.45,1.60,0.33,38.43,0.00,20.53,71,19,1566478,39,0,-0.09,0.00,,
2025-07-10,18:11:36.152,53.1173398,49.9703398,0.0,0.0,0.0,0,14.30,116.30,14.30,3.25,377.98,0.00,22.76,71,20,1566479,39,0,-0.81,0.00,,
2025-07-10,18:11:36.342,53.1173398,49.9703398,0.0,0.0,0.0,0,14.30,116.36,8.30,1.82,211.78,0.00,21.96,71,20,1566479,39,0,-0.29,0.00,,
2025-07-10,18:11:36.533,53.1173398,49.9703398,0.0,0.0,0.0,0,14.60,116.28,8.90,2.00,232.56,0.00,22.50,71,21,1566480,39,0,-0.53,0.00,,
2025-07-10,18:11:36.728,53.1173398,49.9703398,0.0,0.0,0.0,0,14.60,116.32,9.40,2.10,244.27,0.00,22.32,71,22,1566481,39,0,-0.42,0.00,,
2025-07-10,18:11:36.973,53.1173398,49.9703398,0.0,0.0,0.0,0,14.70,116.30,10.20,2.31,268.65,0.00,22.65,71,23,1566482,39,0,-0.49,0.00,,
2025-07-10,18:11:37.237,53.1173398,49.9703398,0.0,0.0,0.0,0,14.70,116.33,3.50,0.76,88.41,0.00,21.80,71,24,1566483,39,0,-0.21,0.00,,
2025-07-10,18:11:37.336,53.1173398,49.9703398,0.0,0.0,0.0,0,14.90,116.52,3.30,0.57,66.42,0.00,17.17,72,25,1566484,39,0,0.28,0.00,,
2025-07-10,18:11:37.523,53.1173398,49.9703398,0.0,0.0,0.0,0,14.70,116.50,0.70,0.14,16.31,0.00,19.84,72,25,1566484,39,0,-0.03,0.00,,
2025-07-10,18:11:37.727,53.1173398,49.9703398,0.0,0.0,0.0,0,14.30,116.51,0.80,0.14,16.31,0.00,18.05,72,26,1566485,39,0,0.07,0.00,,
2025-07-10,18:11:37.926,53.1173398,49.9703398,0.0,0.0,0.0,0,14.10,116.54,0.40,0.07,8.16,0.00,18.26,72,27,1566486,39,0,0.05,0.00,,
2025-07-10,18:11:38.132,53.1173398,49.9703398,0.0,0.0,0.0,0,13.90,116.60,1.50,0.25,29.15,0.00,16.45,72,28,1566487,39,0,0.14,0.00,,
2025-07-10,18:11:38.333,53.1173398,49.9703398,0.0,0.0,0.0,0,13.60,116.53,2.90,0.55,64.09,0.00,19.13,72,28,1566487,39,0,-0.12,0.00,,
2025-07-10,18:11:38.574,53.1173398,49.9703398,0.0,0.0,0.0,0,13.30,116.55,2.10,0.32,37.30,0.00,15.20,72,29,1566488,39,0,0.18,0.00,,
2025-07-10,18:11:38.731,53.1173398,49.9703398,0.0,0.0,0.0,0,13.10,116.58,3.30,0.48,55.96,0.00,14.44,72,30,1566489,39,0,0.19,0.00,,
2025-07-10,18:11:38.941,53.1173398,49.9703398,0.0,0.0,0.0,0,12.70,116.59,0.40,0.06,7.00,0.00,15.45,72,30,1566489,39,0,0.09,0.00,,
2025-07-10,18:11:39.138,53.1173398,49.9703398,0.0,0.0,0.0,0,12.40,116.61,3.80,0.51,59.47,0.00,13.30,72,31,1566490,39,0,0.24,0.00,,
2025-07-10,18:11:39.338,53.1173398,49.9703398,0.0,0.0,0.0,0,12.10,116.61,2.60,0.35,40.81,0.00,13.28,72,32,1566491,39,0,0.16,0.00,,
2025-07-10,18:11:39.569,53.1173398,49.9703398,0.0,0.0,0.0,0,11.80,116.60,0.60,0.08,9.33,0.00,13.69,72,32,1566491,39,0,0.08,0.00,,
2025-07-10,18:11:39.752,53.1173398,49.9703398,0.0,0.0,0.0,0,11.60,116.59,1.70,0.23,26.82,0.00,13.61,72,33,1566492,39,0,0.11,0.00,,
2025-07-10,18:11:39.949,53.1173398,49.9703398,0.0,0.0,0.0,0,11.30,116.63,8.70,0.95,110.80,0.00,10.94,72,34,1566493,39,0,0.51,0.00,,
2025-07-10,18:11:40.123,53.1173398,49.9703398,0.0,0.0,0.0,0,10.90,116.66,7.90,0.81,94.49,0.00,10.25,72,34,1566493,39,0,0.43,0.00,,
2025-07-10,18:11:40.378,53.1173398,49.9703398,0.0,0.0,0.0,0,10.50,116.68,6.40,0.65,75.84,0.00,10.18,72,35,1566494,39,0,0.39,0.00,,
2025-07-10,18:11:40.553,53.1173398,49.9703398,0.0,0.0,0.0,0,10.10,116.65,4.40,0.43,50.16,0.00,9.88,72,35,1566494,39,0,0.24,0.00,,
2025-07-10,18:11:40.739,53.1173398,49.9703398,0.0,0.0,0.0,0,9.60,116.66,8.50,0.79,92.16,0.00,9.25,72,36,1566495,40,0,0.50,0.00,,
2025-07-10,18:11:40.965,53.1173398,49.9703398,0.0,0.0,0.0,0,9.40,116.68,11.80,0.98,114.35,0.00,8.33,72,36,1566495,39,0,0.63,0.00,,
2025-07-10,18:11:41.199,53.1173398,49.9703398,0.0,0.0,0.0,0,9.10,116.71,14.70,1.03,120.21,0.00,7.00,72,37,1566496,40,0,0.86,0.00,,
2025-07-10,18:11:41.339,53.1173398,49.9703398,0.0,0.0,0.0,0,8.60,116.72,15.80,0.95,110.88,0.00,6.02,72,37,1566496,40,0,0.83,0.00,,
2025-07-10,18:11:41.601,53.1173398,49.9703398,0.0,0.0,0.0,0,8.10,116.75,27.90,1.10,128.43,0.00,3.96,73,38,1566497,40,0,1.38,0.00,,
2025-07-10,18:11:41.810,53.1173398,49.9703398,0.0,0.0,0.0,0,7.40,116.75,34.50,0.38,44.37,0.00,1.09,73,38,1566497,40,0,1.86,0.00,,
2025-07-10,18:11:41.953,53.1173398,49.9703398,0.0,0.0,0.0,0,6.30,116.70,26.60,0.12,14.00,0.00,0.45,72,38,1566497,40,0,1.48,0.00,,
2025-07-10,18:11:42.218,53.1173398,49.9703398,0.0,0.0,0.0,0,5.10,116.63,26.60,0.65,75.81,0.00,2.45,72,38,1566497,40,0,1.51,0.00,,
2025-07-10,18:11:42.356,53.1173398,49.9703398,0.0,0.0,0.0,0,3.80,116.60,26.90,1.12,130.59,0.00,4.18,72,38,1566497,40,0,1.44,0.00,,
2025-07-10,18:11:42.571,53.1173398,49.9703398,0.0,0.0,0.0,0,2.40,116.58,5.80,0.14,16.32,0.00,2.46,72,38,1566497,40,0,0.46,0.00,,
2025-07-10,18:11:42.815,53.1173398,49.9703398,0.0,0.0,0.0,0,1.20,116.59,2.70,0.06,7.00,0.00,2.28,72,38,1566497,40,0,0.03,0.00,,
2025-07-10,18:11:42.946,53.1173398,49.9703398,0.0,0.0,0.0,0,0.70,116.60,5.00,0.06,7.00,0.00,1.16,72,38,1566497,40,0,0.35,0.00,,
2025-07-10,18:11:43.184,53.1173398,49.9703398,0.0,0.0,0.0,0,0.60,116.60,7.20,0.19,22.15,0.00,2.68,72,38,1566497,40,0,0.49,0.00,,
2025-07-10,18:11:43.369,53.1173398,49.9703398,0.0,0.0,0.0,0,0.40,116.59,8.50,0.25,29.15,0.00,2.90,72,38,1566497,40,0,0.47,0.00,,
2025-07-10,18:11:43.557,53.1173398,49.9703398,0.0,0.0,0.0,0,0.20,116.59,0.10,0.00,0.00,0.00,0.33,72,38,1566497,40,0,0.19,0.00,,
2025-07-10,18:11:43.760,53.1173398,49.9703398,0.0,0.0,0.0,0,0.10,116.60,1.80,0.05,5.83,0.00,2.78,72,38,1566497,40,0,0.03,0.00,,
2025-07-10,18:11:43.961,53.1173398,49.9703398,0.0,0.0,0.0,0,0.30,116.60,1.50,0.05,5.83,0.00,3.29,72,38,1566497,40,0,0.03,0.00,,
2025-07-10,18:11:44.171,53.1173398,49.9703398,0.0,0.0,0.0,0,0.60,116.58,4.40,0.17,19.82,0.00,3.96,72,38,1566497,40,0,-0.07,0.00,,
2025-07-10,18:11:44.364,53.1173398,49.9703398,0.0,0.0,0.0,0,0.90,116.60,1.30,0.04,4.66,0.00,3.26,72,38,1566497,40,0,0.01,0.00,,
2025-07-10,18:11:44.565,53.1173398,49.9703398,0.0,0.0,0.0,0,1.20,116.60,13.40,0.08,9.33,0.00,0.58,72,39,1566498,40,0,0.58,0.00,,
2025-07-10,18:11:44.764,53.1173398,49.9703398,0.0,0.0,0.0,0,1.50,116.60,7.00,0.25,29.15,0.00,3.56,72,39,1566498,40,0,-0.08,0.00,,
2025-07-10,18:11:44.969,53.1173398,49.9703398,0.0,0.0,0.0,0,1.50,116.55,28.20,1.78,207.46,0.00,6.30,72,39,1566498,40,0,-1.33,0.00,,
2025-07-10,18:11:45.176,53.1173398,49.9703398,0.0,0.0,0.0,0,1.30,116.52,17.60,1.15,134.00,0.00,6.53,72,39,1566498,40,0,-0.92,0.00,,
2025-07-10,18:11:45.375,53.1173398,49.9703398,0.0,0.0,0.0,0,1.40,116.56,1.30,0.03,3.50,0.00,2.02,72,39,1566498,40,0,0.12,0.00,,
2025-07-10,18:11:45.609,53.1173398,49.9703398,0.0,0.0,0.0,0,1.70,116.57,1.90,0.08,9.33,0.00,4.33,72,39,1566498,40,0,-0.04,0.00,,
2025-07-10,18:11:45.778,53.1173398,49.9703398,0.0,0.0,0.0,0,1.90,116.58,10.70,0.58,67.62,0.00,5.46,72,39,1566498,40,0,-0.45,0.00,,
2025-07-10,18:11:45.992,53.1173398,49.9703398,0.0,0.0,0.0,0,2.00,116.54,13.90,0.89,103.72,0.00,6.37,72,39,1566498,40,0,-0.72,0.00,,
2025-07-10,18:11:46.225,53.1173398,49.9703398,0.0,0.0,0.0,0,2.00,116.51,17.40,1.31,152.63,0.00,7.52,72,39,1566498,40,0,-0.83,0.00,,
2025-07-10,18:11:46.398,53.1173398,49.9703398,0.0,0.0,0.0,0,2.30,116.36,33.30,3.80,442.17,0.00,11.41,71,40,1566499,40,0,-1.73,0.00,,
2025-07-10,18:11:46.589,53.1173398,49.9703398,0.0,0.0,0.0,0,3.10,116.33,16.70,1.83,212.88,0.00,10.93,71,40,1566499,40,0,-1.02,0.00,,
2025-07-10,18:11:46.779,53.1173398,49.9703398,0.0,0.0,0.0,0,4.00,116.36,25.10,3.29,382.82,0.00,13.12,71,40,1566499,40,0,-1.16,0.00,,
2025-07-10,18:11:46.985,53.1173398,49.9703398,0.0,0.0,0.0,0,5.00,116.17,20.20,3.40,394.98,0.00,16.81,70,41,1566500,40,0,-1.28,0.00,,
2025-07-10,18:11:47.181,53.1173398,49.9703398,0.0,0.0,0.0,0,6.50,116.23,15.30,2.17,252.22,0.00,14.20,70,41,1566500,40,0,-0.79,0.00,,
2025-07-10,18:11:47.389,53.1173398,49.9703398,0.0,0.0,0.0,0,7.60,116.21,21.40,3.54,411.38,0.00,16.54,70,42,1566501,40,0,-1.15,0.00,,
